timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-28 19:44:28,"$115,540.46",$2.3T,$54.15B,19.94M BTC,0.09% (24h),82%,18%
2025-10-28 13:59:02,"$115,325.68",$2.29T,$55.1B,19.94M BTC,0.26% (24h),82%,18%
2025-10-28 14:41:42,"$114,745.71",$2.28T,$55.53B,19.94M BTC,0.62% (24h),82%,18%
2025-10-28 14:59:38,"$114,941.92",$2.29T,$55.27B,19.94M BTC,0.36% (24h),82%,18%
2025-10-28 15:23:36,"$113,966.48",$2.27T,$55.24B,19.94M BTC,0.97% (24h),82%,18%
2025-10-28 15:41:19,"$113,960.41",$2.27T,$54.84B,19.94M BTC,0.88% (24h),82%,18%
2025-10-28 15:54:04,"$113,801.57",$2.26T,$55.64B,19.94M BTC,0.91% (24h),82%,18%
2025-10-28 16:28:43,"$112,527.54",$2.24T,$59.2B,19.94M BTC,1.95% (24h),82%,18%
2025-10-28 16:46:43,"$112,673.75",$2.24T,$60.13B,19.94M BTC,1.72% (24h),82%,18%
2025-10-28 16:59:33,"$112,851.16",$2.25T,$60.67B,19.94M BTC,1.45% (24h),82%,18%
2025-10-28 17:27:05,"$112,627.43",$2.24T,$62.26B,19.94M BTC,1.39% (24h),82%,18%
2025-10-28 17:42:54,"$113,025.81",$2.25T,$61.68B,19.94M BTC,1.15% (24h),82%,18%
2025-10-28 17:58:34,"$113,096.53",$2.25T,$62.43B,19.94M BTC,1.22% (24h),82%,18%
2025-10-28 18:28:12,"$113,059.87",$2.25T,$63.67B,19.94M BTC,1.25% (24h),82%,18%
2025-10-28 18:45:40,"$113,263.16",$2.25T,$63.96B,19.94M BTC,0.86% (24h),82%,18%
2025-10-28 18:59:18,"$113,244.40",$2.25T,$63.34B,19.94M BTC,0.76% (24h),82%,18%
2025-10-28 19:26:23,"$112,936.56",$2.25T,$63.39B,19.94M BTC,0.92% (24h),82%,18%
2025-10-28 19:42:13,"$113,006.34",$2.25T,$64.14B,19.94M BTC,1% (24h),82%,18%
2025-10-28 22:10:17,"$112,502.81",$2.24T,$65.95B,19.94M BTC,1.65% (24h),82%,18%
2025-10-28 23:33:04,"$112,564.40",$2.24T,$66.08B,19.94M BTC,1.15% (24h),82%,18%
